"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to register a new customer with valid data","155","verifyCustomerRegistration","OpenCartAPITestReport","Wed Apr 09 22:41:02 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.RegisterCustomer","CustomerRegistrationTests","com.opencart.api.testcases.customer.RegisterCustomer","verifyCustomerRegistration"
"Test to register admin with valid data for getting token","1601","Verify Admin Login API returns valid token","OpenCartAPITestReport","Wed Apr 09 22:40:59 IST 2025","passed","Wed Apr 09 22:41:01 IST 2025","com.opencart.api.testcases.admin.LoginAdmin","AdminLoginTests","com.opencart.api.testcases.admin.LoginAdmin","verifyAdminCanLoginSuccessfully"
"Test to Add product in cart with vbalid credentials of customer","64","verifyAddProductToCart","OpenCartAPITestReport","Wed Apr 09 22:41:02 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.AddToCart","CustomerCartTests","com.opencart.api.testcases.customer.AddToCart","verifyAddProductToCart"
"Test to Add product in cart with vbalid credentials of customer","64","verifyAddProductToCart","OpenCartAPITestReport","Wed Apr 09 22:41:02 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.AddToCart","CustomerCartTests","com.opencart.api.testcases.customer.AddToCart","verifyAddProductToCart"
"Test to Add product in cart with vbalid credentials of customer","58","verifyAddProductToCart","OpenCartAPITestReport","Wed Apr 09 22:41:02 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.AddToCart","CustomerCartTests","com.opencart.api.testcases.customer.AddToCart","verifyAddProductToCart"
"Test to register a new customer with valid data","588","verifyCustomerRegistration","OpenCartAPITestReport","Wed Apr 09 22:41:01 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.RegisterCustomer","CustomerRegistrationTests","com.opencart.api.testcases.customer.RegisterCustomer","verifyCustomerRegistration"
"Test to Add product in cart with vbalid credentials of customer","58","verifyAddProductToCart","OpenCartAPITestReport","Wed Apr 09 22:41:02 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.AddToCart","CustomerCartTests","com.opencart.api.testcases.customer.AddToCart","verifyAddProductToCart"
"Test to Add product in cart with vbalid credentials of customer","52","verifyAddProductToCart","OpenCartAPITestReport","Wed Apr 09 22:41:02 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.AddToCart","CustomerCartTests","com.opencart.api.testcases.customer.AddToCart","verifyAddProductToCart"
"Test to register a new customer with valid data","135","verifyCustomerRegistration","OpenCartAPITestReport","Wed Apr 09 22:41:02 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.RegisterCustomer","CustomerRegistrationTests","com.opencart.api.testcases.customer.RegisterCustomer","verifyCustomerRegistration"
"Test to Add product in cart with vbalid credentials of customer","57","verifyAddProductToCart","OpenCartAPITestReport","Wed Apr 09 22:41:02 IST 2025","passed","Wed Apr 09 22:41:02 IST 2025","com.opencart.api.testcases.customer.AddToCart","CustomerCartTests","com.opencart.api.testcases.customer.AddToCart","verifyAddProductToCart"
